场景ID	场景宽度	场景长度	区域大小	怪物配置文件	
INT	INT	INT	INT	INT	STR
#1	256	256	8	2000	monster_file.tab
1	256	32	565	2000	monster_file.tab
2	256	33	566	2000	monster_file.tab
4	256	34	567	2000	monster_file.tab
16	256	35	568	2000	monster_file.tab
32	256	36	569	2000	monster_file.tab
64	256	37	570	2000	monster_file.tab
100	256	38	571	2000	monster_file.tab
101	257	39	572	2000	monster_file.tab
102	258	40	573	2000	monster_file.tab
103	259	41	574	2000	monster_file.tab
104	260	42	575	2001	monster_file.tab
105	261	43	576	2002	monster_file.tab
106	262	44	577	2003	monster_file.tab
107	263	45	578	2004	monster_file.tab
108	264	46	579	2005	monster_file.tab
109	265	47	580	2006	monster_file.tab
110	266	48	581	2007	monster_file.tab
111	267	49	582	2008	monster_file.tab
112	268	50	583	2009	monster_file.tab
113	269	51	584	2010	monster_file.tab
114	270	52	585	2011	monster_file.tab
115	271	53	586	2012	monster_file.tab
116	272	54	587	2013	monster_file.tab
117	273	55	588	2014	monster_file.tab
118	274	56	589	2015	monster_file.tab
119	275	57	590	2016	monster_file.tab
120	276	58	591	2017	monster_file.tab
121	277	59	592	2018	monster_file.tab
122	278	60	593	2019	monster_file.tab
123	279	61	594	2020	monster_file.tab
124	280	62	595	2021	monster_file.tab
125	281	63	596	2022	monster_file.tab
126	282	64	597	2023	monster_file.tab
127	283	65	598	2024	monster_file.tab
128	284	66	599	2025	monster_file.tab
129	285	67	600	2026	monster_file.tab
130	286	68	601	2027	monster_file.tab
131	287	69	602	2028	monster_file.tab
132	288	70	603	2029	monster_file.tab
133	289	71	604	2030	monster_file.tab
134	290	72	605	2031	monster_file.tab
135	291	73	606	2032	monster_file.tab
136	292	74	607	2033	monster_file.tab
137	293	75	608	2034	monster_file.tab
138	294	76	609	2035	monster_file.tab
139	295	77	610	2036	monster_file.tab
140	296	78	611	2037	monster_file.tab
141	297	79	612	2038	monster_file.tab
142	298	80	613	2039	monster_file.tab
143	299	81	614	2040	monster_file.tab
144	300	82	615	2041	monster_file.tab
145	301	83	616	2042	monster_file.tab
146	302	84	617	2043	monster_file.tab
147	303	85	618	2044	monster_file.tab
148	304	86	619	2045	monster_file.tab
149	305	87	620	2046	monster_file.tab
150	306	88	621	2047	monster_file.tab
151	307	89	622	2048	monster_file.tab
152	308	90	623	2049	monster_file.tab
153	309	91	624	2050	monster_file.tab
154	310	92	625	2051	monster_file.tab
155	311	93	626	2052	monster_file.tab
156	312	94	627	2053	monster_file.tab
157	313	95	628	2054	monster_file.tab
158	314	96	629	2055	monster_file.tab
159	315	97	630	2056	monster_file.tab
160	316	98	631	2057	monster_file.tab
161	317	99	632	2058	monster_file.tab
162	318	100	633	2059	monster_file.tab
163	319	101	634	2060	monster_file.tab
164	320	102	635	2061	monster_file.tab
165	321	103	636	2062	monster_file.tab
166	322	104	637	2063	monster_file.tab
167	323	105	638	2064	monster_file.tab
168	324	106	639	2065	monster_file.tab
169	325	107	640	2066	monster_file.tab
170	326	108	641	2067	monster_file.tab
171	327	109	642	2068	monster_file.tab
172	328	110	643	2069	monster_file.tab
173	329	111	644	2070	monster_file.tab
174	330	112	645	2071	monster_file.tab
175	331	113	646	2072	monster_file.tab
176	332	114	647	2073	monster_file.tab
177	333	115	648	2074	monster_file.tab
178	334	116	649	2075	monster_file.tab
179	335	117	650	2076	monster_file.tab
180	336	118	651	2077	monster_file.tab
181	337	119	652	2078	monster_file.tab
182	338	120	653	2079	monster_file.tab
183	339	121	654	2080	monster_file.tab
184	340	122	655	2081	monster_file.tab
185	341	123	656	2082	monster_file.tab
186	342	124	657	2083	monster_file.tab
187	343	125	658	2084	monster_file.tab
188	344	126	659	2085	monster_file.tab
189	345	127	660	2086	monster_file.tab
190	346	128	661	2087	monster_file.tab
191	347	129	662	2088	monster_file.tab
192	348	130	663	2089	monster_file.tab
193	349	131	664	2090	monster_file.tab
194	350	132	665	2091	monster_file.tab
195	351	133	666	2092	monster_file.tab
196	352	134	667	2093	monster_file.tab
197	353	135	668	2094	monster_file.tab
198	354	136	669	2095	monster_file.tab
199	355	137	670	2096	monster_file.tab
200	356	138	671	2097	monster_file.tab
201	357	139	672	2098	monster_file.tab
202	358	140	673	2099	monster_file.tab
203	359	141	674	2100	monster_file.tab
204	360	142	675	2101	monster_file.tab
205	361	143	676	2102	monster_file.tab
